,id,ms,th,tl,bn
id,1.0,0.8759,0.7703,0.7789,0.9009
ms,0.8759,1.0,0.771,0.751,0.9231
th,0.7703,0.771,1.0,0.7091,0.7802
tl,0.7789,0.751,0.7091,1.0,0.7579
bn,0.9009,0.9231,0.7802,0.7579,1.0
