from,to,weight
5,20,0.4918
5,22,0.4875
5,24,0.5713
5,25,0.5137
5,26,0.461
5,27,0.5134
5,29,0.5286
5,33,0.4636
5,36,0.4943
5,38,0.5134
5,39,0.497
5,46,0.6206
5,48,0.547
5,59,0.4837
5,60,0.4534
5,61,0.5984
5,63,0.4805
5,66,0.5048
5,69,0.5001
5,70,0.4503
5,87,0.4663
5,89,0.5101
5,91,0.4814
5,95,0.5254
5,96,0.5623
5,99,0.4822
5,100,0.4887
5,101,0.4583
6,7,0.7271
6,8,0.6387
6,9,0.5288
6,10,0.6062
6,11,0.5577
6,12,0.8065
6,13,0.5731
6,14,0.6708
6,15,0.4879
6,16,0.5005
6,17,0.6347
6,18,0.5756
6,19,0.6024
6,20,0.6799
6,21,0.5424
6,22,0.5036
6,23,0.4817
6,24,0.4586
6,25,0.5294
6,26,0.6271
6,27,0.4769
6,28,0.5064
6,30,0.5096
6,31,0.45
6,33,0.5562
6,34,0.5684
6,35,0.645
6,36,0.6316
6,37,0.6278
6,38,0.5613
6,39,0.5536
6,40,0.5333
6,41,0.5138
6,42,0.5856
6,43,0.5143
6,45,0.5604
6,46,0.6452
6,48,0.6208
6,49,0.5149
6,50,0.52
6,51,0.4782
6,52,0.465
6,55,0.5007
6,56,0.4586
6,57,0.4868
6,58,0.597
6,59,0.5854
6,60,0.6758
6,61,0.5882
6,62,0.547
6,63,0.4634
6,64,0.5966
6,65,0.6802
6,66,0.5684
6,67,0.5412
6,68,0.5652
6,69,0.558
6,70,0.4666
6,71,0.5362
6,72,0.6012
6,73,0.5504
6,74,0.5147
6,75,0.523
6,76,0.4894
6,77,0.5198
6,79,0.6673
6,80,0.46
6,81,0.6072
6,84,0.4921
6,89,0.6462
6,90,0.5393
6,91,0.5409
6,94,0.4584
6,96,0.6913
6,97,0.4864
6,99,0.6142
6,100,0.5066
6,101,0.5159
7,8,0.7314
7,9,0.5778
7,10,0.6993
7,11,0.6281
7,12,0.6316
7,13,0.6237
7,14,0.6453
7,15,0.4747
7,16,0.6987
7,17,0.6741
7,18,0.6157
7,19,0.6138
7,20,0.6706
7,21,0.6138
7,24,0.5713
7,25,0.6093
7,26,0.6318
7,27,0.4995
7,28,0.5495
7,29,0.5683
7,30,0.5604
7,31,0.535
7,32,0.5088
7,33,0.5796
7,34,0.6667
7,35,0.6514
7,36,0.7008
7,37,0.565
7,38,0.6016
7,39,0.5485
7,40,0.5824
7,41,0.5183
7,42,0.5573
7,43,0.4514
7,45,0.5213
7,46,0.6305
7,48,0.6726
7,49,0.57
7,51,0.4906
7,53,0.495
7,56,0.4605
7,58,0.5596
7,59,0.6332
7,60,0.6499
7,61,0.5657
7,62,0.6219
7,63,0.4642
7,64,0.5772
7,65,0.7848
7,66,0.5456
7,67,0.6461
7,68,0.554
7,69,0.6489
7,71,0.5226
7,72,0.5973
7,73,0.6093
7,74,0.489
7,75,0.5118
7,77,0.4538
7,79,0.6406
7,81,0.5334
7,84,0.4967
7,85,0.4528
7,88,0.5079
7,89,0.6723
7,90,0.5448
7,91,0.6107
7,92,0.4522
7,94,0.561
7,95,0.492
7,96,0.6888
7,97,0.5698
7,99,0.5659
7,100,0.6798
8,9,0.6999
8,10,0.5981
8,11,0.545
8,12,0.6178
8,13,0.6714
8,14,0.6527
8,15,0.537
8,16,0.6136
8,17,0.6667
8,18,0.6869
8,19,0.624
8,20,0.6973
8,21,0.5956
8,22,0.4682
8,23,0.4788
8,24,0.5747
8,25,0.5937
8,26,0.7467
8,27,0.5663
8,28,0.5598
8,29,0.5535
8,30,0.6777
8,31,0.5991
8,32,0.4683
8,33,0.5774
8,34,0.6413
8,35,0.6703
8,36,0.6974
8,37,0.526
8,38,0.6043
8,39,0.6285
8,40,0.5337
8,41,0.503
8,42,0.6057
8,43,0.5032
8,45,0.4911
8,46,0.6439
8,48,0.6616
8,49,0.5889
8,50,0.5291
8,51,0.5715
8,52,0.5758
8,56,0.6457
8,57,0.4524
8,58,0.5291
8,59,0.5784
8,60,0.6764
8,61,0.5737
8,62,0.6976
8,64,0.5549
8,65,0.6878
8,66,0.5751
8,67,0.6513
8,68,0.5922
8,69,0.6149
