Edition,Indonesia (Kemenag),Malaysia (Basmeih),Thailand (Rowwad),Philippines (Tagalog),Brunei (KHEU)
Indonesia (Kemenag),1,0.876,0.77,0.779,0.901
Malaysia (Basmeih),0.876,1,0.771,0.751,0.923
Thailand (Rowwad),0.77,0.771,1,0.709,0.78
Philippines (Tagalog),0.779,0.751,0.709,1,0.758
Brunei (KHEU),0.901,0.923,0.78,0.758,1
